State,Marijuana,Cocaine,Heroin,Meth,Average,Average Comparison,Diff.Marijuana,Diff.Cocaine,Diff.Heroin,Diff.Meth,Rank.Marijuana,Rank.Cocaine,Rank.Heroin,Rank.Meth
Washington DC,0.593,0.151,0.023,0.051,0.205,Below DC,0,0,0,0,0,0,0,0
New Orleans LA,0.594,0.153,0.026,0.049,0.206,Below DC,0.001,0.002,0.003,0.002,1,1,11,1
Atlanta GA,0.605,0.153,0.025,0.054,0.209,Below DC,0.012,0.002,0.002,0.003,11,2,8,2
Detroit Ml,0.587,0.155,0.028,0.047,0.204,Below DC,0.006,0.004,0.005,0.004,5,3,24,3
Baltimore MD,0.598,0.160,0.029,0.055,0.211,Below DC,0.005,0.009,0.006,0.004,3,5,31,4
Miami FL,0.559,0.146,0.014,0.060,0.195,Below DC,0.034,0.005,0.009,0.009,26,4,43,5
Memphis TN,0.613,0.171,0.031,0.074,0.222,Below DC,0.02,0.02,0.008,0.023,19,7,37,6
Philadelphia PA,0.599,0.179,0.028,0.085,0.223,Below DC,0.006,0.028,0.005,0.034,6,9,25,7
San Francisco CA,0.546,0.162,0.019,0.089,0.204,Below DC,0.047,0.011,0.004,0.038,36,6,20,8
Oakland CA,0.581,0.173,0.020,0.091,0.216,Below DC,0.012,0.022,0.003,0.04,12,8,12,9
Seattle WA,0.602,0.180,0.022,0.092,0.224,Below DC,0.009,0.029,0.001,0.041,9,11,1,10
Jacksonville FL,0.618,0.189,0.026,0.095,0.232,Below DC,0.025,0.038,0.003,0.044,22,16,14,11
New York City NY,0.578,0.179,0.020,0.098,0.219,Below DC,0.015,0.028,0.003,0.047,14,10,13,12
El Paso TX,0.570,0.185,0.012,0.099,0.217,Below DC,0.023,0.034,0.011,0.048,21,14,46,13
Chicago IL,0.608,0.185,0.022,0.100,0.229,Below DC,0.015,0.034,0.001,0.049,13,13,2,14
Boston MA,0.613,0.186,0.025,0.104,0.232,Below DC,0.02,0.035,0.002,0.053,18,15,9,15
Vlrglnla Beach VA,0.615,0.194,0.025,0.106,0.235,Below DC,0.022,0.043,0.002,0.055,20,21,10,16
Milwaukee WI,0.624,0.197,0.028,0.106,0.239,Below DC,0.031,0.046,0.005,0.055,24,24,26,17
Charlotte NC,0.628,0.193,0.029,0.109,0.240,Below DC,0.035,0.042,0.006,0.058,29,20,32,18
Kansas City MO,0.631,0.201,0.031,0.109,0.243,Below DC,0.038,0.05,0.008,0.058,30,26,39,19
Sacramento CA,0.583,0.191,0.020,0.110,0.226,Below DC,0.01,0.04,0.003,0.059,10,18,15,20
Houston TX,0.609,0.191,0.019,0.112,0.233,Below DC,0.016,0.04,0.004,0.061,16,19,21,21
San Antonio TX,0.595,0.195,0.015,0.112,0.229,Below DC,0.002,0.044,0.008,0.061,2,22,38,22
San Jose CA,0.552,0.183,0.016,0.113,0.216,Below DC,0.041,0.032,0.007,0.062,32,12,33,23
Raleigh NC,0.638,0.190,0.030,0.114,0.243,Below DC,0.045,0.039,0.007,0.063,35,17,34,24
Columbus OH,0.638,0.201,0.033,0.115,0.247,Below DC,0.045,0.05,0.01,0.064,34,27,45,25
San Diego CA,0.598,0.195,0.020,0.117,0.233,Below DC,0.005,0.044,0.003,0.066,4,23,16,26
Albuquerque NM,0.613,0.204,0.018,0.117,0.238,Below DC,0.02,0.053,0.005,0.066,17,30,27,27
Nashville TN,0.642,0.203,0.032,0.119,0.249,Below DC,0.049,0.052,0.009,0.068,40,29,44,28
Austin TX,0.638,0.200,0.020,0.120,0.245,Below DC,0.045,0.049,0.003,0.069,33,25,17,29
Dallas TX,0.632,0.202,0.022,0.121,0.244,Below DC,0.039,0.051,0.001,0.07,31,28,3,30
Indianapolis IN,0.646,0.211,0.034,0.124,0.254,Below DC,0.053,0.06,0.011,0.073,44,36,47,31
Fort worth TX,0.627,0.209,0.024,0.126,0.247,Below DC,0.034,0.058,0.001,0.075,27,33,4,32
Portland OR,0.642,0.213,0.028,0.126,0.252,Below DC,0.049,0.062,0.005,0.075,41,38,29,33
Long Beach CA,0.602,0.208,0.018,0.129,0.239,Below DC,0.009,0.057,0.005,0.078,8,32,28,34
Minneapolis MN,0.648,0.210,0.031,0.129,0.255,Below DC,0.055,0.059,0.008,0.078,45,34,40,35
Denver CO,0.640,0.212,0.024,0.131,0.252,Below DC,0.047,0.061,0.001,0.08,38,37,5,36
Colorado Springs,0.640,0.218,0.026,0.131,0.254,Below DC,0.047,0.067,0.003,0.08,37,41,18,37
Los Angeles CA,0.601,0.207,0.016,0.133,0.239,Below DC,0.008,0.056,0.007,0.082,7,31,35,38
Tucson AZ,0.627,0.218,0.021,0.134,0.250,Below DC,0.034,0.067,0.002,0.083,28,40,7,39
ArlingtonTX,0.626,0.211,0.027,0.134,0.250,Below DC,0.033,0.06,0.004,0.083,25,35,22,40
Wichita KS,0.644,0.218,0.030,0.134,0.257,Below DC,0.051,0.067,0.007,0.083,43,42,36,41
Tuna 0K,0.649,0.218,0.031,0.134,0.258,Below DC,0.056,0.067,0.008,0.083,46,43,41,42
Las Vegas NV,0.621,0.219,0.026,0.135,0.250,Below DC,0.028,0.068,0.003,0.084,23,44,19,43
Fresno CA,0.609,0.218,0.018,0.138,0.246,Below DC,0.016,0.067,0.005,0.087,15,39,30,44
Oklahoma City OK,0.641,0.220,0.031,0.138,0.258,Below DC,0.048,0.069,0.008,0.087,39,45,42,45
Omaha NE,0.662,0.222,0.034,0.140,0.265,Above DC,0.069,0.071,0.011,0.089,48,46,48,46
Mesa AZ,0.650,0.225,0.027,0.141,0.261,Below DC,0.057,0.074,0.004,0.09,47,47,23,47
Phoenix AZ,0.644,0.233,0.024,0.151,0.263,Above DC,0.051,0.082,0.001,0.1,42,48,6,48
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
